黑客帝国3：矩阵革命,2003,436703人评价
惊魂记,1960,282304人评价
电锯惊魂,2004,517785人评价
你的名字。,2016,1360311人评价
三块广告牌,2017,803202人评价
达拉斯买家俱乐部,2013,442517人评价
疯狂原始人,2013,820684人评价
心迷宫,2014,506320人评价
卢旺达饭店,2004,321646人评价
上帝之城,2002,295486人评价
谍影重重3,2007,407668人评价
英雄本色,1986,521170人评价
风之谷,1984,347042人评价
海街日记,2015,435421人评价
纵横四海,1991,410235人评价
爱在午夜降临前,2013,388347人评价
绿里奇迹,1999,319951人评价
记忆碎片,2000,587888人评价
岁月神偷,2010,565557人评价
忠犬八公物语,1987,189589人评价
荒蛮故事,2014,432580人评价
疯狂的石头,2006,799886人评价
雨中曲,1952,217330人评价
爆裂鼓手,2014,572811人评价
小偷家族,2018,796207人评价
无敌破坏王,2012,523713人评价
贫民窟的百万富翁,2008,731074人评价
2001太空漫游,1968,314764人评价
背靠背，脸对脸,1994,125658人评价
小丑,2019,980677人评价
冰川时代,2002,598418人评价
无间道2,2003,462885人评价
恐怖游轮,2009,836885人评价
东邪西毒,1994,561453人评价
真爱至上,2003,719438人评价
牯岭街少年杀人事件,1991,288403人评价
你看起来好像很好吃,2010,325513人评价
心灵奇旅,2020,948717人评价
遗愿清单,2007,445617人评价
魔女宅急便,1989,446706人评价
东京教父,2003,219951人评价
黑天鹅,2010,766779人评价
大佛普拉斯,2017,440094人评价
可可西里,2004,295780人评价
城市之光,1931,141598人评价
雨人,1988,394931人评价
源代码,2011,816474人评价
恋恋笔记本,2004,654231人评价
海边的曼彻斯特,2016,515985人评价
初恋这件小事,2010,964054人评价
人工智能,2001,434008人评价
虎口脱险,1966,249705人评价
波西米亚狂想曲,2018,587394人评价
青蛇,1993,510745人评价
萤火虫之墓,1988,397842人评价
终结者2：审判日,1991,333611人评价
罗生门,1950,305927人评价
疯狂的麦克斯4：狂暴之路,2015,513875人评价
新龙门客栈,1992,431800人评价
千钧一发,1997,288045人评价
奇迹男孩,2017,541722人评价
无耻混蛋,2009,462355人评价
二十二,2015,286630人评价
崖上的波妞,2008,478971人评价
彗星来的那一夜,2013,560285人评价
末路狂花,1991,242202人评价
黑客帝国2：重装上阵,2003,396385人评价
血钻,2006,370724人评价
房间,2015,362334人评价
爱乐之城,2016,868128人评价
花束般的恋爱,2021,584323人评价
步履不停,2008,271941人评价
魂断蓝桥,1940,271163人评价
战争之王,2005,358473人评价
火星救援,2015,707638人评价
谍影重重2,2004,342594人评价
千年女优,2001,257109人评价
哈利·波特与死亡圣器(上),2010,553241人评价
芙蓉镇,1987,127707人评价
燃情岁月,1994,280167人评价
弱点,2009,297201人评价
阿飞正传,1990,494038人评价
朗读者,2008,445906人评价
谍影重重,2002,413555人评价
再次出发之纽约遇见你,2013,418077人评价
香水,2006,533504人评价
海洋,2009,154577人评价
穿越时空的少女,2006,373217人评价
我爱你,2011,162083人评价
哈利·波特与凤凰社,2007,544644人评价
